Name: CCTV13, URL: https://cdn3.163189.xyz/163189/cctv13$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV13, URL: https://event.pull.hebtv.com/jishi/cp1.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: CCTV13, URL: http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 支持作者, URL: https://vd4.bdstatic.com/mda-rht8yb8mk7prjpvb/1080p/cae_h264/1756373484708582178/mda-rht8yb8mk7prjpvb.mp4$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 浙江卫视, URL: https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 浙江卫视, URL: http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 深圳卫视, URL: http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 山西卫视, URL: http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 浙江教科影视, URL: https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 浙江教科影视, URL: http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 电影犯罪片, URL: http://live.metshop.top/huya/11352974?cdn=alicdn$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 102 ms
Name: 电影谍战片, URL: http://live.metshop.top/huya/21059587?cdn=alicdn$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 83 ms
Name: 浙江少儿, URL: https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 浙江少儿, URL: http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 浙江少儿, URL: https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 浙江少儿, URL: http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?fbl=$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 福州少儿, URL: http://live.zohi.tv/video/s10001-fztv-4/index.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 延边卫视, URL: http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8#$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 上虞文化影院, URL: http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 上虞新商都, URL: http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 上虞新闻综合, URL: http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 中国蓝新闻, URL: http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 之江纪录, URL: https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 之江纪录, URL: http://ali-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 之江纪录, URL: http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 乐至综合, URL: http://175.155.106.72:89/live1/live1.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 乐至综合, URL: http://175.155.106.72:89/live1/live1.m3u8?zsicd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 亳州农村, URL: http://zbbf2.ahbztv.com/live/418.m3u8?zanhd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 什邡新闻, URL: http://live.sfrmt.com:85/live/zhpd.m3u8?zsicd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 任丘综合, URL: https://jwcdnqx.hebyun.com.cn/live/rqtv1/1500k/tzwj_video.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 伊犁经济法制, URL: http://110.153.180.106:55555/out_4/index.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 伊犁经济法制, URL: http://110.153.180.106:55555/out_4/index.m3u8?zxinjd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 伊犁维吾尔, URL: http://110.153.180.106:55555/out_2/index.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 伊犁维吾尔, URL: http://110.153.180.106:55555/out_2/index.m3u8?zxinjd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 伊犁哈萨克, URL: http://110.153.180.106:55555/out_3/index.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 余杭未来E, URL: http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 余姚综合, URL: http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 余姚综合, URL: https://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 余杭综合, URL: http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 兴隆综合, URL: https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 188 ms
Name: 北京科教, URL: http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3, Date: None, Resolution: None, Response Time: 78 ms
Name: 北京青年, URL: http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8, Date: None, Resolution: None, Response Time: 78 ms
Name: 南国都市, URL: http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 叙州新闻综合, URL: http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8?zsicd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 哈密二套, URL: https://tvpull.hmgbtv.com/hmtv/channel108259412c6a6711/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 四川科教, URL: http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 嘉兴新闻综合, URL: http://live.zohi.tv/video/s10001-fztv-1/index.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 嘉兴新闻综合, URL: http://tvfile.jyrmt.cn:80/nmip-media/channellive/channel104452/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 奎屯哈萨克语, URL: http://218.84.12.186:8002/hls/main/playlist.m3u8?zxinjd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 126 ms
Name: 太谷新闻综合, URL: https://p2.vzan.com/slowlive/596867413819827251/live.m3u8?zbid=1725814272&amp;amp;tpid=1516989100&amp;amp;type=0$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 安徽导视, URL: http://dspdhls.appcoo.com:8888/live/dspd/index.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 150 ms
Name: 安顺新闻, URL: http://hplayer1.juyun.tv/camera/154379194.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 250 ms
Name: 庆元新闻综合, URL: http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?fbl=$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 庆元综合, URL: http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 庆元综合, URL: http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed[浙江]洞头综合频道$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
Name: 文山州公共, URL: http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel8/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 126 ms
Name: 文山州公共, URL: http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel8/playlist.m3u8?zyund$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 126 ms
Name: 新昌生活, URL: http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 125 ms
